date,安宁里南区,安宁里,小南庄社区,小南庄怡秀园,车道沟南里,育新花园,育新花园,怡升园,富力桃园C区,富力桃园B区
01/01/2016,8,8,25,25,11,20,20,33,24,24
02/01/2016,8,8,12,12,8,13,13,20,18,18
03/01/2016,16,16,16,16,21,25,25,48,27,27
04/01/2016,5,5,14,14,11,28,28,30,20,20
05/01/2016,6,6,13,13,10,12,12,23,12,12
06/01/2016,9,9,11,11,7,16,16,17,10,10
07/01/2016,5,5,9,9,9,18,18,11,16,16
08/01/2016,7,7,23,23,11,24,24,23,27,27
09/01/2016,8,8,28,28,21,43,43,31,28,28
10/01/2016,9,9,22,22,14,29,29,30,21,21
11/01/2016,3,3,25,25,7,26,26,27,16,16
12/01/2016,32,32,23,23,22,21,21,21,17,17
