date,荣丰2008,裕中东里,椿树园,裕中西里,乐城,双旗杆东里,平原里小区,宣武门西大街,宣武门西大街,宣武门西大街26号院
01/01/2016,92,23,11,30,11,8,15,9,9,9
02/01/2016,45,14,11,14,5,4,10,10,10,10
03/01/2016,92,30,14,32,21,8,12,13,13,13
04/01/2016,54,13,15,23,11,10,16,14,14,14
05/01/2016,40,15,9,16,6,9,11,8,8,8
06/01/2016,35,10,3,15,6,3,12,10,10,10
07/01/2016,43,10,16,12,12,5,7,9,9,9
08/01/2016,72,21,11,27,8,11,18,10,10,10
09/01/2016,85,30,15,28,17,12,15,11,11,11
10/01/2016,52,20,18,35,15,6,21,8,8,8
11/01/2016,58,31,12,32,11,8,19,8,8,8
12/01/2016,46,29,24,24,20,18,16,15,15,15
